InstanceType,vCPU,Memory,GPUType,GPUCount,GPUMemory
c6id.2xlarge,8,16384,,,
m6id.24xlarge,96,393216,,,
r5d.12xlarge,48,393216,,,
m5d.4xlarge,16,65536,,,
t2.nano,1,512,,,
i3en.metal,96,786432,,,
r6g.2xlarge,8,65536,,,
t3a.xlarge,4,16384,,,
i3.2xlarge,8,62464,,,
r6i.large,2,16384,,,
x2iedn.8xlarge,32,1048576,,,
c6g.2xlarge,8,16384,,,
t2.small,1,2048,,,
m6gd.2xlarge,8,32768,,,
m6id.large,2,8192,,,
m6a.48xlarge,192,786432,,,
r6i.32xlarge,128,1048576,,,
r5n.metal,96,786432,,,
c6i.xlarge,4,8192,,,
c6gd.large,2,4096,,,
g4dn.4xlarge,16,65536,T4,1.0,16384.0
x1e.4xlarge,16,499712,,,
r6gd.12xlarge,48,393216,,,
m6i.2xlarge,8,32768,,,
r6in.xlarge,4,32768,,,
